City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,al burayqah,30.4062,19.5739,83.73,66,0,7.52,LY,1690095003
258,lumphat,13.4878,106.9816,84.18,84,61,3.94,KH,1690095004
259,grajau,-5.8194,-46.1386,67.89,46,27,2.24,BR,1690095004
260,blenheim,-41.516,173.9528,47.52,91,100,4.81,NZ,1690095005
261,ambon,-3.6954,128.1814,85.23,100,40,5.75,ID,1690095006
262,zinder,13.8072,8.9881,80.56,89,0,4.61,NE,1690095006
263,kinik,39.0872,27.3833,84.11,26,0,2.82,TR,1690095007
264,jian'ou,27.0469,118.3253,91.54,59,92,3.6,CN,1690095007
265,shurugwi,-19.6702,30.0059,61.7,43,0,2.46,ZW,1690095008
266,pacific grove,36.6177,-121.9166,59.02,92,0,1.99,US,1690094885
267,gadzhiyevo,69.2551,33.3362,49.96,77,99,15.73,RU,1690095009
268,portland,45.5234,-122.6762,73.98,64,0,9.22,US,1690094757
269,al kharijah,25.4514,30.5464,95.14,22,3,15.23,EG,1690095010
270,kas,36.2018,29.6377,98.56,24,0,1.95,TR,1690095011
271,cockburn town,21.4612,-71.1419,81.34,81,19,12.77,TC,1690094738
272,san julian,21.0167,-102.1667,56.93,82,100,4.34,MX,1690095012
273,hampton bays,40.869,-72.5176,72.86,90,0,0.0,US,1690095013
274,belyy yar,53.6039,91.3903,75.09,50,20,11.18,RU,1690095014
275,kupang,-10.1667,123.5833,81.19,61,52,15.64,ID,1690095014
276,mount darwin,-16.7725,31.5838,65.23,61,0,6.04,ZW,1690095015
277,kiruna,67.8557,20.2251,47.32,100,100,8.05,SE,1690095015
278,ibradi,37.0969,31.5992,85.44,24,0,13.06,TR,1690095016
279,caleta de carquin,-11.0925,-77.6267,65.55,85,59,7.2,PE,1690095017
280,saudarkrokur,65.7461,-19.6394,49.42,89,100,0.78,IS,1690095017
281,vilyuchinsk,52.9306,158.4028,73.67,72,100,11.14,RU,1690095018
282,nueva gerona,21.8833,-82.8,83.1,76,69,6.4,CU,1690095018
283,aquin,18.2833,-73.4,78.67,85,2,3.71,HT,1690095019
284,tofol,5.3248,163.0078,80.38,89,100,5.75,FM,1690095020
285,moyynkum,44.2914,72.9469,101.05,13,0,9.73,KZ,1690095020
286,lompoc,34.6391,-120.4579,69.78,95,100,4.61,US,1690095021
287,pont rouge,48.8833,-72.0825,61.09,97,100,3.09,CA,1690095021
288,richfield,44.8833,-93.283,67.21,89,0,0.0,US,1690095022
289,tongliao,43.6125,122.2653,69.57,86,100,15.12,CN,1690095023
290,opuwo,-18.0607,13.84,68.52,26,0,4.27,NA,1690095023
291,santa isabel,-23.3156,-46.2214,58.08,86,0,2.39,BR,1690095024
292,ponta delgada,37.7333,-25.6667,68.72,88,75,2.3,PT,1690094812
293,bandarbeyla,9.4942,50.8122,85.6,54,98,31.9,SO,1690095025
294,kattivakkam,13.2167,80.3167,84.29,81,100,14.07,IN,1690095025
295,keflavik,64.0049,-22.5624,52.23,93,75,4.61,IS,1690095026
296,khash,28.2211,61.2158,92.16,16,100,3.78,IR,1690094834
297,ewarton,18.1808,-77.0766,81.88,92,8,1.45,JM,1690095027
298,basco,20.4487,121.9702,84.42,79,21,15.39,PH,1690095028
299,vinton,37.281,-79.897,70.27,94,100,0.0,US,1690095028
300,jagatsinghapur,20.2667,86.1667,89.96,62,100,13.78,IN,1690095029
301,xichang,27.8964,102.2634,88.09,46,3,1.43,CN,1690095030
302,north bend,43.4065,-124.2243,61.27,94,100,10.36,US,1690095002
303,salinas,36.6777,-121.6555,64.0,84,0,8.05,US,1690094883
304,happy valley-goose bay,53.3168,-60.3315,66.51,94,75,3.44,CA,1690095031
305,sao vicente,-23.9631,-46.3919,68.27,26,0,5.14,BR,1690095032
306,papao,-17.75,-149.55,73.08,70,100,13.31,PF,1690095033
307,port lincoln,-34.7333,135.8667,55.31,70,100,10.36,AU,1690095033
308,port elizabeth,-33.918,25.5701,53.89,71,0,11.5,ZA,1690095034
309,qianzhou,28.3167,109.7167,94.5,56,89,4.25,CN,1690095034
310,christchurch,-43.5333,172.6333,51.91,94,100,11.5,NZ,1690094854
311,pisco,-13.7,-76.2167,66.25,77,100,2.3,PE,1690095036
312,gouyave,12.1646,-61.7296,79.57,83,40,12.66,GD,1690095036
313,owando,-0.4819,15.8999,77.52,74,100,4.85,CG,1690095037
314,deniliquin,-35.5333,144.9667,54.45,63,39,9.24,AU,1690095037
315,holualoa,19.6228,-155.9522,78.64,87,40,5.75,US,1690095038
316,akureyri,65.6835,-18.0878,48.13,93,100,2.3,IS,1690095039
317,lincoln city,44.9582,-124.0179,64.04,88,42,11.01,US,1690095039
318,maceio,-9.6658,-35.7353,71.04,94,75,2.3,BR,1690095040
319,sai buri,6.7013,101.6168,85.71,55,58,9.89,TH,1690095040
320,dunedin,-45.8742,170.5036,48.79,93,100,1.99,NZ,1690094854
321,las palmas,28.4204,-14.0131,68.79,73,40,17.27,ES,1690095042
